time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T18:48:47.460Z,19.2876,-65.0848,39,3.38,md,8,333,1.3769,0.22,pr,pr2018064005,2018-03-05T19:25:25.237Z,"105km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.18,14.64,0.16,7,reviewed,pr,pr
2018-03-05T18:45:53.831Z,36.4511,-115.7442,9,1.2,ml,24,99.72,0.274,0.2141,nn,nn00624317,2018-03-05T19:12:22.957Z,"34km NE of Pahrump, Nevada",earthquake,,4.1,0.23,15,reviewed,nn,nn
2018-03-05T18:43:34.260Z,37.3808327,-121.7348328,6.8,1.66,md,18,71,0.02825,0.04,nc,nc72979466,2018-03-05T18:45:13.630Z,"8km ENE of Alum Rock, CA",earthquake,0.21,0.46,0.21,11,automatic,nc,nc
2018-03-05T18:33:56.450Z,-19.3775,-179.0281,668.23,4.7,mb,,43,3.21,0.97,us,us2000dch7,2018-03-05T19:03:42.040Z,"144km NNW of Ndoi Island, Fiji",earthquake,8.3,7.7,0.033,285,reviewed,us,us
2018-03-05T18:33:27.667Z,53.4521,-165.1877,25.6,1.6,ml,,,,0.43,ak,ak18592238,2018-03-05T18:46:52.142Z,"85km SSE of Akutan, Alaska",earthquake,,10978.9,,,reviewed,ak,ak
2018-03-05T18:32:38.740Z,62.4564,-148.861,6,1.2,ml,,,,0.69,ak,ak18592227,2018-03-05T18:38:27.981Z,"60km ENE of Y, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-05T18:25:55.010Z,34.275,-117.1415,38.7,1.76,ml,9,201,0.08822,0.06,ci,ci37888623,2018-03-05T18:29:45.161Z,"5km NE of Lake Arrowhead, CA",earthquake,0.89,0.48,0.438,14,automatic,ci,ci
2018-03-05T18:19:41.740Z,34.0341667,-116.8311667,8.2,1.86,ml,53,55,0.01945,0.18,ci,ci37888615,2018-03-05T18:26:27.878Z,"13km NNE of Banning, CA",earthquake,0.23,0.56,0.219,25,reviewed,ci,ci
2018-03-05T18:19:20.760Z,33.2851667,-116.1226667,0.98,1.6,ml,42,101,0.1346,0.25,ci,ci37888607,2018-03-05T18:30:39.590Z,"16km W of Salton City, CA",earthquake,0.42,31.61,0.175,28,automatic,ci,ci
2018-03-05T17:50:19.096Z,59.8632,-152.8006,97.3,1.7,ml,,,,0.58,ak,ak18592066,2018-03-05T17:55:47.360Z,"55km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-03-05T17:46:48.340Z,33.4935,-116.7828333,4.1,0.97,ml,35,36,0.08117,0.21,ci,ci37888599,2018-03-05T18:31:01.430Z,"10km NE of Aguanga, CA",earthquake,0.23,0.59,0.192,28,reviewed,ci,ci
2018-03-05T17:13:55.600Z,36.0061684,-120.5690002,3.46,2.06,md,36,101,0.02646,0.07,nc,nc72979451,2018-03-05T17:18:01.536Z,"17km NW of Parkfield, CA",earthquake,0.26,0.34,0.14,19,automatic,nc,nc
2018-03-05T17:03:03.119Z,63.0834,-151.2418,3.4,0.4,ml,,,,0.84,ak,ak18591661,2018-03-05T18:41:09.229Z,"102km NW of Talkeetna, Alaska",earthquake,,0.9,,,reviewed,ak,ak
